pan,tilt,ir,dist
83.0,54.0,62.0,57.75893129269237
81.0,54.0,34.0,72.85350000305839
79.0,54.0,6.0,92.53486214163408
77.0,54.0,23.0,79.9813572042446
75.0,54.0,31.0,74.72482318540713
73.0,54.0,35.0,72.24145541017124
71.0,54.0,46.0,65.88099883757137
69.0,54.0,61.0,58.2300737542174
67.0,54.0,39.0,69.8506981865008
65.0,54.0,27.0,77.3037768451805
63.0,54.0,19.0,82.76067128702596
61.0,54.0,3.0,94.95976344436657
60.0,55.0,21.0,81.35810073492532
62.0,55.0,17.0,84.18946770328108
64.0,55.0,46.0,65.88099883757137
66.0,55.0,47.0,65.33543710352254
68.0,55.0,59.0,59.18642569790845
70.0,55.0,52.0,62.68558578781204
72.0,55.0,38.0,70.43986552529485
74.0,55.0,51.0,63.20530343614917
76.0,55.0,35.0,72.24145541017124
78.0,55.0,14.0,86.38271870456175
80.0,55.0,11.0,88.6372641371643
82.0,55.0,23.0,79.9813572042446
84.0,55.0,62.0,57.75893129269237
86.0,55.0,89.0,46.66655343531391
88.0,55.0,46.0,65.88099883757137
90.0,55.0,23.0,79.9813572042446
92.0,55.0,88.0,47.025640739312436
94.0,55.0,234.0,19.910622728568786
96.0,55.0,142.0,32.10587139622131
98.0,55.0,46.0,65.88099883757137
100.0,55.0,20.0,82.05613280447999
102.0,55.0,99.0,43.271289921130126
104.0,55.0,47.0,65.33543710352254
106.0,55.0,39.0,69.8506981865008
108.0,55.0,59.0,59.18642569790845
110.0,55.0,34.0,72.85350000305839
112.0,55.0,24.0,79.30254708437646
114.0,55.0,24.0,79.30254708437646
116.0,55.0,40.0,69.26713678336
118.0,55.0,12.0,87.87885252755477
120.0,55.0,50.0,63.730105124999994
119.0,56.0,27.0,77.3037768451805
117.0,56.0,35.0,72.24145541017124
115.0,56.0,35.0,72.24145541017124
113.0,56.0,9.0,90.17503736040335
111.0,56.0,42.0,68.11665263391413
109.0,56.0,55.0,61.15651924842625
107.0,56.0,19.0,82.76067128702596
